Fruits, mg / 100 grams
Avocado(abokado), 590
Durian(Dorian), 510
Banana, 360
Melon(meron), 350
Pitaya(dragon-fruits)(doragon-furūtsu), 350
Atemoya, 340
Kiwi-fruits(kiui-furūtsu), 300
Sudachi, 290
Sanbokan(sanboukan), 280
Oriental melon(makuwa-uri), 280
Chinese quince(Karin), 270
Cherry(Sakuranbo), 260
Pomegranate(zakuro), 250
Guava(guaba), 240
Chocolate vine(akebi), 240
Cherimoya, 230
Grape(budou), 220
White-sapote, 220
Papaya(papaiya|papaia), 210
Yuzu, 210
Gooseberry(gūzuberī), 200
Seminole(seminōru), 200
Natsudaidai(natsumikan), 190
Iyokan, 190
Honeysuckle(hasukappu), 190
Bitter-orange(daidai), 190
Si-ku-wa-as(sīkuwāsā), 180
Kumquat(kinkan), 180
Navelorange(nēburuorenji), 180
Hassakuorange(hassaku), 180
Pomelo(Buntan), 180
Harumi, 170
Kiyomiorange(kiyomiorenji), 170
Persimmon(kaki), 170
Mango(mangō), 170
Setoka, 170
Strawberry(ichigo), 170
Shiranuhi(shiranuhi), 170
Fig(ichijiku), 170
Litch(raichi), 170
Cucumis-metulifer(kiwano), 170
Cydonia-oblonga(marumero), 160
Citrus-ponkan(ponkan), 160
Litch(raichi), 170
Cucumis-metulifer(kiwano), 170
Cydonia-oblonga(marumero), 160
Citrus-ponkan(ponkan), 160
Loquat(biwa), 160
Citrus-kawachibankan(kawachibankan), 160
Raspberry(razuberī), 150
Citrus-mandarine(unsyuumikan), 150
Citrus-oroblanco(oroburanko), 150
Pineapple(painappuru), 150
Citrus-grapefruts(gureipufurūtsu), 140
Citrus-fukuharaorange(fukuharaorenji), 140
Citrus-valensia(barenshia), 140
Citrus-sudachi(sudachi), 140
Pair(nashi), 140
Citrus-kabosu(kabosu), 140
Carambora(sutāfurūtsu), 140
